_id_	en	sv	da	nl	fi	de	nb
conflictWarning	There are activities conflicting with this activity. Press OK to continue.	Det finns aktiviteter som krockar med din aktivitet. Tryck ok om du vill fortsätta.	Der er aktiviteter, der falder sammen med denne aktivitet. Tryk på OK for at fortsætte.	Er zijn activiteiten die conflicteren met deze activiteit. Druk op OK om door te gaan.	On olemassa aktiviteetteja, jotka ovat ristiriidassa tämän aktiviteetin kanssa. Jatka painamalla OK.	Mit dieser Aktivität stehen andere Aktivitäten im Konflikt. Drücken Sie auf OK, um fortzufahren.	Der er aktiviteter som kolliderer med denne aktivitet. Trykk på OK for å fortsette.
noBasicActivityError1	There are no basic activities and you have not selected name or image in adding an activity step-by-step.	Det finns inga basaktiviteter och du har inte valt namn och bild i lägga in stegvis.	Det er ingen standardaktivitet, og du har ikke valgt navn og billede i sekvensmodus.	Er zijn geen standaardactiviteiten en u heeft geen naam of afbeelding geselecteerd in het stap voor stap toevoegen van een activiteit.	Perusaktiviteetteja ei ole, etkä ole valinnut nimeä tai kuvaa lisätessäsi aktiviteettia vaiheittain.	Es gibt keine Standardaktivitäten und Sie haben beim schrittweisen Hinzufügen einer Aktivität keinen Namen oder kein Bild ausgewählt.	Det er ingen standardaktivitet, og du har ikke valgt navn og bilde i sekvensmodus.
noBasicActivityError2	To fix this, either create basic activities or select either name or image for step-by-step.	För att åtgärda, skapa några basaktiviteter eller aktivera antingen namn eller bild i lägga in stegvis.	For at fikse det skal der oprettes standardaktiviteter eller aktiveres enten navn eller billede i sekvensmodus.	Om dit op te lossen creëert u standaardactiviteiten of selecteer een naam of afbeelding voor stap voor stap.	Korjaa tämä joko luomalla perusaktiviteetteja tai valitsemalla joko nimi tai kuva vaiheittaisten ohjeiden mukaisesti.	Um dies zu beheben, erstellen Sie entweder Standardaktivitäten oder wählen einen Namen oder ein Bild für die schrittweise Prozedur aus.	For å fikse, opprette noen standardaktiviteter eller aktivere enten navn eller bilde i sekvensmodus.
missingRequiredActivitySetting	You need either “Show basic activities”, “Select name” or “Select image” selected.	Du behöver ha antingen “Visa basaktiviteter”, “Välj namn”, eller “Välj bild” vald.	Du skal have enten “Vis standardaktiviteter”, “Vælg navn”, eller “Vælg billede” valgt.	U moet ofwel “Toon basisactiviteiten”, “Naam selecteren” of “Afbeelding selecteren” selecteren.	Sinun on valittava joko “Näytä perustoiminnot”, “Valitse nimi” tai “Valitse kuva”.	Sie müssen entweder “Grundaktivitäten anzeigen”, “Namen auswählen” oder “Bild auswählen” auswählen.	Du må ha enten “Vis liste med standardaktiviteter”, “Velg navn”, eller “Velg bilde” valgt.
							
### Privacy							
availableFor	Available for	Tillgänglig för	Fås til	Beschikbaar voor	Käytettävissä	Verfügbar für	Tilgjengelig for
activityAvailableFor	Available for	Tillgänglig för	Fås til	Beschikbaar voor	Käytettävissä	Verfügbar für	Tilgjengelig for
meAndSupportPersons	Me and support persons	Mig och stödpersoner	Mig og støttepersoner	Mij en ondersteuningspersonen	Minä ja tukihenkilöt	Mich und Hilfspersonen	Meg og støttepersoner
onlyMe	Only me	Bara mig	Bare mig	Mij alleen	Vain minä	Nur für mich	Bare meg
							
### Alarm							
selectAlarmType	Select alarm	Ange larm	Vælg alarm	Alarm selecteren	Valitse hälytys	Alarm auswählen	Angi alarm
alarmAndVibration	Alarm + vibration	Larm + vibration	Alarm + vibration	Alarm + trilfunctie	Hälytys + värinä	Alarm + Vibration	Alarm + Vibrasjon
vibration	Vibration	Vibration	Vibration	Trilfunctie	Värinä	Vibration	Vibrasjon
noAlarm	No alarm	Inget larm	Ingen alarm	Geen alarm	Ei hälytystä	Kein Alarm	Ingen alarm
silentAlarm	Silent alarm	Tyst larm	Stille alarm	Stil alarm	Äänetön hälytys	Stiller Alarm	Stille alarm
alarmOnlyAtStartTime	Alarm only at Start time	Larm endast vid starttid	Kun alarm ved starttidspunkt	Alarm alleen op begintijd	Vain hälytys alkamisaikaan	Alarm nur zur Startzeit	Alarm kun på starttid
alertAlarmsDisabled	All alarms will be disabled until midnight on this device	Alla larm kommer att inaktiveras fram till midnatt på den här enheten	Alle alarmer vill være deaktivert til midnatt på denne enheten	Alle alarmen worden tot middernacht uitgeschakeld op dit toestel	Kaikki tämän laitteen hälytykset poistetaan käytöstä keskiyöhön asti	Alle Alarme auf diesem Gerät werden bis Mitternacht deaktiviert	Alle alarmer deaktiveres indtil midat på denne enhed
							
### Select picture							
selectImage	Select image	Välj bild	Vælg billede	Afbeelding selecteren	Valitse kuva	Bild auswählen	Velg bilde
removeImage	Remove image	Ta bort bild	Fjern billede	Afbeelding verwijderen	Poista kuva	Entferne Bild	Fjern bildet
imageArchive	Image Archive	Bildarkiv	Billedarkiv	Afbeeldingenarchief	Kuva-arkisto	Bildarchiv	Bildearkiv
devicesLocalImages	Device’s local images	Enhetens bilder	Enhedens billeder	Afbeeldingen van het apparaat	Laitteen kuvat	Bilder des Geräts	Enhetens bilder
myPhotos	My photos	Mina foton	Mine fotos	Mijn foto's	Omat valokuvat	Meine Fotos	Mine foto
mobilePictures	Mobile pictures	Mobilbilder	Telefonbilleder	Telefoonafbeeldingen	Matkapuhelimen kuvat	Mobilgerät Bilder	Mobilbilder
takeNewPhoto	Take new photo	Ta ny bild	Tag et nyt billede	Nieuwe foto nemen	Ota uusi kuva	Neues Foto machen	Ta nytt bilde
							
### Recurrence							
recurrence	Recurrence	Upprepning	Gentagelse	Terugkerend	Toistuminen	Intervall	Gjentakelse
once	Once	Enstaka	En gang	Eén keer	Kerran	Einmal	En gang
weekly	Weekly	Veckovis	Ugentlig	Wekelijks	Viikoittain	Wöchentlich	Ukentlig
monthly	Monthly	Månadsvis	Månedlig	Maandelijks	Kuukausittain	Monatlich	Månedlig
yearly	Yearly	Årsvis	Årlig	Jaarlijks	Vuosittain	Jährlich	Årlig
noEndDate	No end date	Inget slutdatum	Ingen slutdato	Geen einddatum	Ei päättymispäivää	Kein Enddatum	Uten sluttdato
endDate	End date	Slutdatum	Slutdato	Einddatum	Päättymispäivä	Enddatum	Sluttdato
everyOtherWeek	Every other week	Varannan vecka	Hver anden uge	Om de week	Kahden viikon välein	Vierzehntägig	Annenhver uke
recurringDataEmptyErrorMessage	Select at least one day.	Välj minst en dag.	Vælg mindst en dag	Selecteer ten minste één dag.	Valitse vähintään yksi päivä.	Mindestens einen Tag auswählen.	Velg minst en dag.
selectAll	Select all	Markera alla	Markere alle	Alles selecteren	Valitse kaikki	Alles auswählen	Markere alle
deselectAll	Deselect all	Avmarkera alla	Fravælg alle	Alles deselecteren	Poista kaikki valinnat	Auswahl aufheben	Avmarkere alle
mo	Mon	mån	man	Ma	Ma	Mo	man
tu	Tue	tis	tir	Di	Ti	Di	tir
we	Wed	ons	ons	Wo	Ke	Mi	ons
th	Thu	tor	tor	Do	To	Do	tor
fr	Fri	fre	fre	Vr	Pe	Fr	fre
sa	Sat	lör	lør	Za	La	Sa	lør
su	Sun	sön	søn	Zo	Su	So	søn
							
### Info item							
extra	Extra	Extra	Ekstra	Extra	Ekstrat	Extra	Ekstra
infoType	Select extra function	Välj extra funktion	Vælg ekstra funktion	Extra functie selecteren	Valitse lisätoiminto	Extrafunktion auswählen	Velg ekstra funksjon
selectInfoType	Select extra function	Välj extra funktion	Vælg ekstra funktion	Extra functie selecteren	Valitse lisätoiminto	Extrafunktion auswählen	Velg ekstra funksjon
infoTypeNone	No extra function selected	Ingen extra funktion vald	Ingen yderligere funktion er valgt	Geen extra functie geselecteerd	Lisätoimintoa ei ole valittu	Keine Extrafunktion ausgewählt	Ingen ekstra funksjon valgt
addChecklist	Add checklist	Lägg till checklista	Tilføj tjekliste	Checklist toevoegen	Lisää tarkistusluettelo	Checkliste hinzufügen	Legg til sjekkliste
addNote	Add note	Lägg till anteckning	Tilføj note	Notitie toevoegen	Lisää muistiinpano	Hinweis hinzufügen	Legg til notat
typeSomething	Type something…	Skriv något…	Skriv noget…	Typ iets	Kirjoita jotain	Geben Sie etwas ein…	Skriv noe…
enterText	Enter text	Skriv text	Indtast tekst	Voer tekst in	Kirjoita teksti	Text eingeben	Skriv inn tekst
clear	Clear	Rensa	Slet	Verwijderen	Poista	Entfernen	Slette
selectFromLibrary	Select from library	Välj från bibliotek	Vælg fra bibliotek	Selecteren uit bibliotheek	Valitse kirjastosa	Aus Bibliothek wählen	Velg fra bibliotek
addNew	Add new	Lägg till ny	Tilføj	Toevoegen	Lisää	Hinzufügen	Legg til
task	Task	Uppgift	Opgave	Taak	Tehtävä	Aufgabe	Oppgave
							
### Quick settings							
screenBrightness	Screen brightness	Skärmens ljusstyrka	Skærmens lysstyrke	Schermhelderheid	Näytön kirkkaus	Bildschirmhelligkeit	Skjermens lysstyrke
battery	Battery	Batteri	Batteri	Batterij	Akku	Akkus	Batteri
clickSound	Click Sound	Klickljud	Kliklyd	Klikgeluid	Kosketusääni	Klang anklicken	Lyd ved valg
volumeAlarm	Volume for alarm	Volym för alarm	Volumen for alarm	Volume voor alarm	Hälytyksen äänenvoimakkuus	Lautstärke für Alarm	Volum for alarm
volumeMedia	Volume for media	Volym för media	Volumen for media	Volume voor media	Median äänenvoimakkuus	Lautstärke für Medien	Volum for media
wifi	Wi-Fi	Wi-Fi	Wi-Fi	Wifi	Wi-Fi	WLAN	Wi-Fi
notConnected	Not connected	Ej ansluten	Ikke tilsluttet	Niet verbonden	Ei yhteyttä	Nicht verbunden	Ikke tilkoblet
connected	Connected	Ansluten	Tilsluttet	Verbonden	Yhdistetty	Verbunden	Tilkoblet
screenTimeout	Screen timeout	Skärmens tidsgräns	Skærmens tidsgrænse	Timeout scherm	Näytön pimennys	Bildschirm Zeitüberschreitung	Skjermens tidsgrense
alwaysOn	Always on	Alltid på	Altid på	Altijd aan	Aina käytössä	Immer ein	Alltid på
keepScreenAwakeWhileCharging	Keep screen awake when charging	Håll skärmen tänd vid laddning	Lad skærmen være tændt under opladning	Houd scherm wakker tijdens opladen	Pidä näyttö päällä latauksen aikana	Bildschirm während Aufladen aktiv lassen	Hold skjermen på ved lading
							
### Settings							
settings	Settings	Inställningar	Indstillinger	Instellingen	Asetukset	Einstellungen	Innstillinger
calendarView	Day Calendar	Dagkalender	Dagkalender	Dagkalender	Päiväkalenteri	Tageskalender	Dagkalender
oneTimePillarView	1 timepillar	1 tidpelare	1 tidslinje	1 tijdlijn	1 aikajana	1 Zeitstrahl	1 tidslinje
twoTimePillarsView	2 timepillars	2 tidspelare	2 tidslinjer	2 tijdlijnen	2 aikajanaa	2 Zeitstrahlen	2 tidslinjer
listView	List	Lista	Liste	Lijst	Luettelo	Liste	Liste
timepillarSettings	Timepillar settings	Inställningar för tidpelare	Tidslinjeindstillinger	Tijdlijn instellingen	Aikajanan asetukset	Zeitstrahl einstellungen	Innstillinger for tidslinje
activityDuration	Activity duration	Visa tid som	Vis tiden som	Laat de tijd zien als	Näytä aika muodossa	Zeit anzeigen als	Vise tiden som
dots	Dots	Prickar	Prikker	Stippen	Pisteet	Punkte	Prikker
edge	Edge	Flärp	Flik	Rand	Reuna	Kante	Flik
monthCalendarGrid	Simple	Enkel	Enkel	Eenvoudig	Helppo	Einfach	Enkel
monthCalendarPreview	Detailed	Detaljerad	Detaljeret	Gedetailleerd	Yksityiskohtainen	Ausführlich	Detaljert
textToSpeech	Speech support	Talstöd	Talestøtte	Spraakondersteuning	Puhetuki	Sprachausgabe	Talesyntese
longpressToSpeak	Tap and hold for speech support	Tryck och håll ned för talstöd	Tryk og hold nede for talestøtte	Tik en houd vast voor spraakondersteuning	Napauta ja pidä painettuna puhetukea varten	Tippen und halten Sie für die Sprachunterstützung	Trykk og hold for talestøtte
longPressInfoText	Tap and hold about 1½ seconds on any function to get it read to by speech synthesis	Tryck länge på någon text för att få den uppläst	Tryk og hold ca. 1½ sekund på enhver funktion for at få den læst til ved talesyntese	Tik en houd ongeveer 1½ seconde vast op een functie om deze te laten voorlezen door spraaksynthese	Napauta ja pidä painettuna noin 1,5 sekuntia mitä tahansa toimintoa saadaksesi sen lukemaan puheen synteesin avulla	Tippen und halten Sie etwa 1½ Sekunden lang auf eine Funktion, um sie durch Sprachsynthese lesen zu lassen	Trykk og hold i ca. 1½ sekund på en funksjon for å få den lest opp ved talesyntese
display	Display	Visa	Vise	Tonen	Näytä	Anzeige	Vise
viewMode	View mode	Visningsläge	Visningstilstand	Weergavemodus	Katselutila	Ansichtsmodus	Visningsmodus
dayInterval	Day interval	Intervall	Interval	Interval	Aikaväli	Intervall	Intervall
interval	Interval	Intervall	Interval	Interval	Aikaväli	Intervall	Intervall
intervals	Intervals	Intervaller	Intervaller	Intervallen	Aikavälit	Intervalle	Intervaller
categories	Categories	Kategorier	Kategorier	Categorieën	Kategoriat	Kategorien	Kategorier
viewDay	Day	Dagen	Dagen	Dag	Päivä	Tag	Dagen
dayAndNight	Day and night	Dygnet	Døgnet	Dag en nacht	Päivä ja yö	Tag und Nacht	Døgnet
zoom	Timeline zoom	Tidslinjens zoom	Zoom	Zoom tijdlijn	Aikajanan zoomaus	Zeitstrahl Zoom	Zoom
small	Small	Liten	Lille	Klein	Pieni	Klein	Liten
medium	Medium	Mellan	Mellem	Medium	Keskikokoinen	Mittel	Mellom
large	Large	Stor	Stor	Groot	Suuri	Groß	Stor
system	System	System	System	Systeem	Järjestelmä	System	System
calendar	Calendar	Kalender	Kalender	Kalender	Kalenteri	Kalender	Kalender
functions	Functions	Funktioner	Funktioner	Functies	Toiminnot	Funktionen	Funksjoner
imagePicker	Image picker	Bildväljare	Billedvalg	Afbeeldingkiezer	Kuvanvalitsin	Bildauswahl	Bildevalg
general	General	Generellt	Generelt	Algemeen	Yleistä	Allgemeines	Generelt
dayCalendar	Day Calendar	Dagkalender	Dagkalender	Dagkalender	Päiväkalenteri	Tageskalender	Dagkalender
weekCalendar	Week Calendar	Veckokalender	Ugekalender	Weekkalender	Viikkokalenteri	Wochenkalender	Ukekalender
monthCalendar	Month Calendar	Månadskalender	Månedskalender	Maandkalender	Kuukausikalenteri	Monatskalender	Månedskalender
activityView	Activity View	Aktivitetsvy	Aktivitetssiden	Activiteitsweergave	Aktiviteettinäkymä	Aktivitätsanzeige	Aktivitetsvindu
addActivity	Add activity	Lägga in aktivitet	Indsæt aktivitet	Activiteit toevoegen	Lisää aktiviteetti	Aktivität hinzufügen	Legg inn aktivitet
alarmSettings	Alarm settings	Larminställningar	Alarmindstillinger	Alarminstellingen	Hälytysasetukset	Alarmeinstellungen	Alarminnstillinger
nonCheckableActivities	Non checkable activities	Ej kvitterbara aktiviteter	Ikke-kvitterbare aktiviteter	Niet-afvinkbare activiteiten	Ei-tarkistettavat aktiviteetit	Keine kontrollierbaren Aktivitäten	Ikke kvitterbare aktiviteter
checkableActivities	Checkable activities	Kvitterbara aktiviteter	Kvitterbare aktiviteter	Afvinkbare activiteiten	Tarkistettavat aktiviteetit	Kontrollierbare Aktivitäten	Kvitterbare aktiviteter
vibrationOnReminder	Vibration on reminder	Vibration vid påminnelse	Vibration ved påmindelse	Trilfunctie bij herinnering	Värinä muistutuksessa	Vibration bei Erinnerung	Vibrasjon ved påminnelse
alarmTime	Alarm time	Larmtid	Alarmtid	Alarmtijd	Hälytysaika	Alarmzeit	Alarmtid
alert	Alert	Signal	Signal	Alert	Hälytys	Anruffunktion	Signal
defaultSound	Default	Förval	Forvalg	Voorselectie	Esivalinta	Vorauswahl	Forvalg
noSound	- No sound -	- Inget ljud -	- Ingen lyd -	- Geen geluid -	- Ei ääntä -	- Kein Klang -	- Ingen lyd -
showDisableAlarms	Show Disable alarms	Visa Inaktivera larm	Vis Deaktiver alarmer	Alarmen uitschakelen tonen	Näytä Poista hälytykset käytöstä-painike	Alarme deaktivieren anzeigen	Vis Deaktiver alarmer
showWeekNumber	Show week number	Visa veckonummer	Vis ugenummer	Weeknummer tonen	Näytä viikon numero	Wochennummer anzeigen	Vis ukenummer
showYear	Show year	Visa år	Vis år	Jaar tonen	Näytä vuosi	Jahr anzeigen	Vis år
everyDay	Every day (7)	Alla dagar (7)	Alle dage (7)	Elke dag (7)	Joka päivä (7)	Täglich (7)	Alle dager (7)
view	View	Vy	Side	Weergave	Näytä	Anzeigen	Vindu
viewSettings	View settings	Visa inställningar	Se indstillinger	Laat instellingen zien	Näytä asetukset	Einstellungen anzeigen	Visningsinnstillinger
typeOfDisplay	Type of display	Typ av visning	Type	Schermsoort	Näytön tyyppi	Bildschirmtyp	Type
timelineLength	Timeline length	Tidslinjens längd	Tid på døgnet	Lengte tijdlijn	Aikajanan pituus	Zeitstrahl Länge	Tid på døgnet
weekdays	Weekdays (5)	Vardagar (5)	Hverdage (5)	Weekdagen (5)	Arkisin (5)	Werktage (5)	Hverdager (5)
captions	Captions	Rubriker	Titler	Bijschriften	Otsikot	Unterschriften	Titler
columns	Columns	Kolumner	Kolonner	Kolommen	Sarakkeet	Spalten	Kolonner
headings	Headings	Rubriker	Titler	Kopteksten	Otsikot	Überschriften	Titler
allowPassedStartTime	Allow passed start time	Lägga in på passerad tid	Indsæt på passeret starttid	Verlopen Starttijd toestaan	Salli mennyt aloitusaika	Startzeit in der Vergangenheit erlauben	Legg inn på passert tid
addRecurringActivity	Add recurring activity	Lägga in återkommande aktivitet	>Indsæt gentagende aktivitet	Terugkerende activiteit toevoegen	Lisää toistuva aktiviteetti	Wiederkehrende Aktivität hinzufügen	Legg inn gjentakende aktivitet
showEndTime	Show end time	Visa sluttid	Vis sluttid	Eindtijd tonen	Näytä päättymisaika	Endezeit anzeigen	Vis sluttid
showAlarm	Show alarm	Visa larm	Vis alarm	Alarmen weergeven	Näytä hälytykset	Alarme anzeigen	Vis alarm
showSilentAlarm	Show silent alarm	Visa tyst larm	Vis stille alarm	Stille alarmen weergeven	Näytä hiljaiset hälytykset	Stille Alarme anzeigen	Vis stille alarm
showNoAlarm	Show no alarm	Visa inget larm	Vis ingen alarm	Geen alarmen weergeven	Älä näytä hälytystä	Kein Alarm anzeigen	Vis ingen alarm
throughEditView	Through Edit View	Via Ändravyn	Via Redigersiden	Door bewerkweergave	Muokkausnäkymässä	Durch Bearbeitungsanzeige	Via endrevindu
androidSettings	Android Settings	Android-inställningar	Android-indstillinger	Android-instellingen	Android-asetukset	Android-Einstellungen	Android-innstillinger
stepByStep	Step-by-step	Stegvis	Trinvist	Stap voor stap	Vaihe vaiheelta	Schritt für Schritt	Via sekvens
showBasicActivities	Show basic activities	Visa basaktiviteter	Vis standardaktiviteter	Toon standaardactiviteiten	Näytä perusaktiviteetit	Standardaktivitäten anzeigen	Vis liste med standardaktiviteter
selectName	Select name	Välj namn	Vælg navn	Naam selecteren	Valitse nimi	Name auswählen	Velg navn
selectDate	Select date	Välj datum	Vælg dato	Datum selecteren	Valitse päivämäärä	Datum auswählen	Velg dato
selectType	Select type	Välj typ	Vælg type	Type selecteren	Valitse tyyppi	Typ auswählen	Velg type
selectCheckable	Select checkable	Välj kvitterbar	Vælg kvittering	Afvinkbaarheid selecteren	Valitse tarkistettava	Kontrollierbar auswählen	Velg kvittering
selectAvailableFor	Select available for	Välj tillgänglig för	Vælg tilgængelig for	Selecteer beschikbaar voor	Valitse käytettävissä	Wählen Sie verfügbar für	Velg tilgjengelig for
selectDeleteAfter	Select delete after	Välj ta bort efteråt	Vælg slet bagefter	Wissen na selecteren	Valitse poista, kun on kulunut	Zeit bis Löschen auswählen	Velg slett etterpå
selectAlarm	Select alarm	Välj larm	Vælg alarm	Alarm selecteren	Valitse hälytys	Alarm auswählen	Velg alarm
iOSAlarmTimeWarning	On an iPhone, alarm sounds can only be played for maximum 30 seconds	På en iPhone kan alarmljud bara spelas upp i maximalt 30 sekunder	På en iPhone kan alarmlyde kun afspilles i maksimalt 30 sekunder	Op een iPhone kunnen alarmgeluiden maximaal 30 seconden worden afgespeeld	IPhonessa hälytysääniä voidaan toistaa enintään 30 sekunnin ajan	Auf einem iPhone können Alarmtöne nur maximal 30 Sekunden lang abgespielt werden	På en iPhone kan alarmlyder bare spilles av i maksimalt 30 sekunder
selectChecklist	Select checklist	Välj checklista	Vælg tjekliste	Checklist selecteren	Valitse tarkistusluettelo	Checkliste auswählen	Velg sjekkliste
selectNote	Select note	Välj anteckning	Vælg note	Notitie selecteren	Valitse muistiinpano	Hinweis auswählen	Velg notat
selectReminder	Select reminder	Välj påminnelser	Vælg påmindelse	Herinnering selecteren	Valitse muistutus	Erinnerung auswählen	Velg påminnelser
add	Add	Lägg in	Indsæt	Toevoegen	Lisää	Hinzufügen	Legg inn
defaults	Defaults	Förval	Forvalg	Voorselectie	Esivalinta	Vorauswahl	Forvalg
onlyAppliesToGo	Only applies to MEMOplanner Go						
showOngoingActivityInFullScreen	Show ongoing activity in full screen	Visa pågående aktivitet i helskärm	Vis nuværende aktivitet i fuld skærm	Lopende activiteit in volledig scherm tonen	Näytä käynnissä oleva aktiviteetti koko näytössä	Laufende Aktivität im Vollbild zeigen	Vis gjeldende aktivitet i full skjerm
							
## Functions Settings							
toolbar	Toolbar	Knapprad	Værktøjslinje	Werkbalk	Työkalurivi	Symbolleiste	Knapperad
toolbarSettingsHint	Views displayed in the Toolbar	Visningar visas i verktygsfältet	Visninger vises i værktøjslinjen	Weergaven weergegeven in de werkbalk	Näkymät näkyvät työkalupalkissa	In der Symbolleiste angezeigte Ansichten	Visninger som vises på verktøylinjen
homeScreen	Home screen	Startsida	Startside	Thuisscherm	Aloitusnäyttö	Startbildschirm	Startside
homeScreenSettingsHint	View displayed when the home button is pressed	Visad vy vid tryck på hemknappen	Side der bliver vist ved tryk på hjemknappen	Weergave getoond als de homeknop wordt ingedrukt	Näkymä näytetään, kun aloitussivun painiketta painetaan	Wird nach Drücken der Schaltfläche Home angezeigt	Vindu som vil bli vist ved trykk på hjemknappen
timeout	Timeout	Timeout	Timeout	Time-out	Aikakatkaisu	Zeitüberschreitung	Timeout
timeoutSettingsHint	Returns to the home screen after a period of inactivity	Återgång till startsidan efter en tids inaktivitet	Gå tilbage til startsiden, efter en periode med inaktivitet	Gaat terug naar het thuisscherm na een periode van inactiviteit	Palaa aloitusnäyttöön käyttämättömyysjakson jälkeen	Rückkehr zum Startbildschirm nach einer Zeit der Inaktivität	Återgång till startsidan efter en tids inaktivitet
noTimeout	No timeout	Ingen timeout	Ingen timeout	Geen time-out	Ei aikakatkaisua	Keine Zeitüberschreitung	Ingen timeout
activateScreensaver	Activate Screensaver	Aktivera skärmsläckare	Aktivér pauseskærm	Screensaver activeren	Aktivoi näytönsäästäjä	Bildschirmschoner aktivieren	Aktiver skjermsparer
menuRemovalWarning	Do you really want to remove the Settings from the Menu? If you do, it will still be possible to access settings by clicking on the category symbols in the day calendar; left – right – left. This works even if they are hidden.	Vill du verkligen ta bort Inställningar från Menyn? I så fall startas inställningar genom att trycka på kategorisymbolerna i dagkalendern; vänster – höger – vänster. Tryck på motsvarande yta om de saknas.	Er du sikker på, du vil slette Indstillinger fra menuen? Hvis det er tilfældet, skal du starte Indstillinger ved at trykke på kategorisymbolerne i dagkalenderen; venstre - højre - venstre. Tryk på det tilsvarende område af det, der mangler.	Weet u zeker dat u de instellingen uit het menu wilt verwijderen? Als u dit doet, is het nog steeds mogelijk instellingen te openen door op de categoriesymbolen in de dagkalender te klikken; links â€“ rechts â€“ links. Dit werkt zelfs als ze verborgen zijn.	Haluatko varmasti poistaa asetukset valikosta? Jos haluat, asetuksia on silti mahdollista käyttää napsauttamalla kategoriasymboleja päiväkalenterissa: vasen â€“ oikea â€“ vasen. Tämä toimii, vaikka ne olisi piilotettu.	Möchten Sie die Einstellungen wirklich aus dem Menü entfernen? Wenn Sie es tun, können Sie weiterhin auf die Einstellungen zugreifen, indem Sie die Kategoriesymbole im Tageskalender anklicken; links â€“ rechts â€“ links. Dies funktioniert auch, wenn die Symbole ausgeblendet sind.	Ønsker du virkelig å slette Innstillinger fra Menyen? I så fall startes Innstillinger ved å trykke på kategorisymbolene i dagkalenderen; venstre - høyre - venstre. Trykk på tilsvarende område av den savnede.
							
## Month Calendar							
selectADayToViewDetails	Select a day to view more details						
## Day Calendar Settings							
topField	Top Field	Toppfält	Topfelt	Bovenste veld	Yläkenttä	Oberstes Feld	Toppfelt
showBrowseButtons	Show browse buttons	Visa bläddraknappar	Vis bladre-knapper	Toon bladerknoppen	Näytä selauspainikkeet	Suchschaltflächen anzeigen	Vis bla-knapper
showWeekday	Show weekday	Visa veckodag	Vis ugedag	Weekdag tonen	Näytä viikonpäivä	Wochentag anzeigen	Vis ukedag
showDayPeriod	Show time for day and night	Visa tid på dygnet	Vis tid på døgnet	Tijd voor dag en nacht tonen	Näytä aika päivälle ja yölle	Zeit für Tag und Nacht anzeigen	Vis tid på døgnet
showDate	Show date	Visa datum	Vis dato	Datum tonen	Näytä päivämäärä	Datum anzeigen	Vis dato
showClock	Show clock	Visa klocka	Vis ur	Toon klok	Näytä kello	Uhr anzeigen	Vis klokken
							
## Activity view Settings							
delete	Delete	Ta bort	Slet	Verwijderen	Poista	Löschen	Slett
edit	Edit	Ändra	Ændre	Bewerken	Muokkaa	Bearbeiten	Endre
showQuarterHourWatchBar	Show Quarter Hour Watch bar	Visa kvartur	Vis kvartur	Kwartierkijkbalk tonen	Näytä aikapylväsnäkymä	Viertelstunden-Balken anzeigen	Vis kvarterur
timeOnQuarterHourBar	Time on Quarter Hour bar	Tid på kvartur	Tid på kvartur	Tijd op kwartierbalk	Aika varttikellon palkissa	Zeit auf Viertelstunden-Balken	Tid på kvarterur
							
## Calendar General Settings							
clock	Clock	Klocka	Ur	Klok	Kello	Uhr	Klokke
analogueDigital	Analogue + digital	Analog + digital	Analog + digital	Analoog + digitaal	Analoginen + digitaalinen	Analog + digital	Analog + digital
analogue	Analogue	Analog	Analog	Analoog	Analoginen	Analog	Analog
digital	Digital	Digital	Digital	Digitaal	Digitaalinen	Digital	Digital
timeline	Timeline	Tidslinje	Tidslinje	Tijdlijn	Aikajana	Zeitstrahl	Tidslinje
earyMorning	early morning	morgon	morgen	ochtend	aamu	frühmorgens	morgen
twelveHourFormat	12 hours format	12 timmar format	12 timers format	12 uur formaat	12 tunnin muoto	12 Stunden Format	12 timers format
oneDot	One dot	En punkt	Et punkt	Eén punt	Yksi piste	Ein Punkt	Et punkt
columnOfDots	Column of dots	Pelare av punkter	Søjle af punkter	Kolommen van punten	Pistepylväs	Spalte aus Punkten	Pillar av punkter
lineAcrossCurrentTime	Line across current time	Linje på aktuell tid	Linje viser aktuel tid	Lijn door huidige tijd	Viiva nykyisen ajan kohdalla	Linie über aktueller Zeit	Linje viser aktuell tid
linesForEachHour	Lines for each hour	Linjer för varje timme	Linjer for hver time	Lijnen voor elk uur	Viivat jokaiselle tunnille	Linien für jede Stunde	Linjer for hver time
saturdayAndSunday	Saturday and Sunday	Lördag och söndag	Lørdag og søndag	Zaterdag en zondag	Lauantai ja sunnuntai	Samstag und Sonntag	Lørdag og søndag
dayColours	Day colours	Dagfärger	Dagfarver	Dagkleuren	Päivien värit	Tagesfarben	Dagfarger
noDayColours	No day colours	Inga dagfärger	Ingen dagsfarver	Geen dagkleuren	Ei päivien värejä	Keine Tagesfarben	Ingen dagfarger
showCagetories	Show categories	Visa kategorier	Vis kategorier	Categorieën tonen	Näyte kategoriat	Kategorien zeigen	Vis kategorier
showColours	Show colours	Visa färger	Vis farver	Kleuren tonen	Näytä värit	Farben zeigen	Vis farger
editCategory	Edit category	Redigera kategori	Rediger kategori	Bewerk categorie	Muokkaa kategoriaa	Kategorie bearbeiten	Rediger kategori
							
### Speech support settings							
speakEveryWord	Read out word when space bar is pressed	Uppläsning av varje ord	Oplæs ord ved mellemrum	Woord voorlezen als er op de spatiebalk wordt gedrukt	Lue sana ääneen, kun välilyöntipainiketta painetaan	Bei gedrückter Leertaste Wort vorlesen	Opplesning av ord ved mellomrom
